org_itemid,org_name
90860,DESULFOVIBRIO SP.
90861,CUPRIAVIDUS PAUCULUS
90862,MYCOBACTERIUM MARSEILLENSE
90863,NOCARDIA CYRIACIGEORGICA
90864,LACTOBACILLUS CASEI/PARACASEI/ZEAE
90865,STAPHYLOCOCCUS LENTUS
90866,MYCOBACTERIUM TRIPLEX
90868,YOKENELLA REGENSBURGEI
90869,STREPTOCOCCUS CONSTELLATUS SSP. CONSTELLATUS
90870,STREPTOCOCCUS SALIVARIUS SSP. SALIVARIUS
90871,GLOBICATELLA SANGUINIS
90872,STREPTOCOCCUS INFANTARIUS SSP. COLI (STR. LUTETIENSIS)
90873,HAEMOPHILUS HAEMOLYTICUS
90874,KOCURIA ROSEA
90875,ATOPOBIUM RIMAE
90877,LEPTOTRICHIA SPECIES
90878,CAMPYLOBACTER UREOLYTICUS
90879,PENICILLIUM FELLUTANUM
90880,CUTIBACTERIUM (PROPIONIBACTERIUM) ACNES
90881,KLEBSIELLA (RAOULTELLA) ORNITHINOLYTICA
90882,KLEBSIELLA (RAOULTELLA) PLANTICOLA
90883,PERONEUTYPA SCOPARIA
90884,CLOSTRIDIUM SAUDIENSE
90885,ACETOBACTER SP.
90887,BACILLUS CEREUS/THURINGIENSIS
90888,DIALISTER MICRAEROPHILUS
90889,CUTIBACTERIUM SPECIES
90890,BREVUNDIMONAS DIMINUTA/VESICULARIS
90891,CIMEX SPECIES (BEDBUG)
90892,KOCURIA SPECIES
90893,PAENIBACILLUS SPECIES
90894,CORYNEBACTERIUM GLUCURONOLYTICUM
90896,WAUTERSIELLA FALSENII
90897,LACTOBACILLUS FERMENTUM
90898,BLASTOMYCES DERMATITIDIS
90899,CORYNEBACTERIUM PYRUVICIPRODUCENS
90900,MYCOBACTERIUM NEOAURUM
90960,CLOSTRIDIUM CADAVERIS
90961,SERRATIA PLYMUTHICA
90963,BIFIDOBACTERIUM BREVE
90968,STAPHYLOCOCCUS COHNII
90969,STAPHYLOCOCCUS XYLOSUS
90970,VAGOCOCCUS FLUVIALIS
90971,NEOSCYTALIDIUM DIMIDIATUM
90975,STREPTOCOCCUS ALACTOLYTICUS
90976,STREPTOCOCCUS CONSTELLATUS SSP. PHARYNGIS
90977,STREPTOCOCCUS DYSGALACTIAE SSP. EQUISIMILIS
90978,STREPTOCOCCUS SALIVARIUS SSP. THERMOPHILUS
90979,MYCOBACTERIUM MUCOGENICUM PHOCAICUM GROUP
90980,LACTOCOCCUS GARVIEAE
90981,BORDETELLA HINZII
90982,SCHAALIA (ACTINOMYCES) ODONTOLYTICA
90984,EIKENELLA SPECIES
90985,PHIALEMONIUM INFLATUM
90987,NEUROSPORA SITOPHILA (FORMERLY CHRYSONILLA SITOPHILA)
90988,HAFNIA SPECIES
90989,HAFNIA PARALVEI
90991,ROTHIA SPECIES
90992,IRPEX LACTEUS
90993,CAPNOCYTOPHAGA CANIS
90994,PHANEROCHAETE CUMULODENTATA
90995,PROPIONIBACTERIUM NAMNETENSE
90996,STAPHYLOCOCCUS EQUORUM
90997,TRAMETES HIRSUTA
90998,CORYNEBACTERIUM TUBERCULOSTEARICUM
91000,AGGREGATIBACTER SEGNIS
91001,ASPERGILLUS CREBER
91002,MYCOBACTERIUM SMEGMATIS
91003,FLAVONIFRACTOR PLAUTII
91004,MYCOBACTERIUM IMMUNOGENUM
91005,EGGERTHELLA LENTA
91006,SCEDOSPORIUM (APIOSPERMUM) SPP. COMPLEX
91007,BACILLUS CEREUS GROUP
91009,DESULFOVIBRIO FAIRFIELDENSIS
91013,CRONOBACTER SPECIES
91014,FUSARIUM VETERINARIUM
91016,PHOMA HERBARUM
91017,ACIDOVORAX ORYZAE
91019,PSEUDOMONAS OLEOVORANS
91020,MYCOBACTERIUM PORCINUM
91021,CITROBACTER WERKMANII
91022,CAMPYLOBACTER HYOINTESTINALIS
91023,CAMPYLOBACTER JEJUNI/COLI
91024,ACINETOBACTER URSINGII
91025,MAGNUSIOMYCES CAPITATUS
91026,PANDORAEA SPP
91028,TEICHOSPORA SPECIES
91030,PHAEOACREMONIUM VENEZUELENSE
91032,PAPILIOTREMA FONSECAE (FORMERLY CRYPTOCOCCUS FONSECAE)
